rating_method,quadrant,sr_v_mean,sr_v_sd,sr_v_skew,sr_v_kurt,sr_a_mean,sr_a_sd,sr_a_skew,sr_a_kurt,sr_angle_mean,sr_angle_sd,sr_angle_skew,sr_angle_kurt,sr_dist_mean,sr_dist_sd,sr_dist_skew,sr_dist_kurt
Grid,HP,0.26,0.59,-0.66,-0.94,0.59,0.31,-1.1,2.44,1.11,0.87,-0.32,1.52,0.9,0.23,0.52,-0.34
Grid,LP,0.63,0.34,-1.72,3.29,-0.13,0.52,0.19,-1.14,-0.11,0.84,1.02,1.65,0.85,0.26,-0.32,0.45
Grid,LN,-0.35,0.38,0.92,1.25,-0.33,0.45,0.63,-0.47,-0.93,2.03,1.01,-0.76,0.71,0.25,-0.25,-1.22
Grid,HN,-0.72,0.29,1.53,2.46,0.6,0.35,-0.82,-0.25,1.96,1.47,-2.77,6.26,0.99,0.32,-0.48,-0.93
Flubber,HP,0.34,0.6,-0.71,-0.82,0.67,0.26,-0.77,0.35,1.17,0.69,0.6,-0.54,0.96,0.25,-0.22,-0.38
Flubber,LP,0.74,0.29,-2.41,8.67,-0.36,0.5,0.86,-0.05,-0.39,0.65,0.25,1.7,0.98,0.22,0.52,-0.51
Flubber,LN,-0.31,0.43,0.9,0.66,-0.46,0.42,0.86,-0.06,-1.08,1.86,1.36,0.25,0.77,0.27,-0.43,0.22
Flubber,HN,-0.74,0.28,1.86,4.37,0.64,0.31,-1.25,1.99,2.33,0.71,-5.13,29.74,1.02,0.28,-0.76,-0.03
Proprioceptive,HP,0.29,0.6,-0.6,-1.05,0.6,0.31,-1.11,0.95,1.08,0.92,-0.98,3.61,0.91,0.24,-0.25,-0.06
Proprioceptive,LP,0.74,0.23,-1.05,0.99,-0.2,0.56,0.36,-1.17,-0.18,0.68,0.59,-0.48,0.94,0.25,-0.52,0.08
Proprioceptive,LN,-0.31,0.42,0.68,0.55,-0.4,0.44,0.76,-0.06,-1.15,1.82,1.4,0.43,0.74,0.29,-0.11,-0.76
Proprioceptive,HN,-0.72,0.32,1.99,3.68,0.57,0.42,-1.03,0.06,1.65,1.75,-1.89,1.94,1.02,0.31,-0.9,0.42
Baseline,HP,0.3,0.58,-0.65,-0.91,0.58,0.31,-1.38,2.13,1.06,0.89,-0.76,2.56,0.89,0.27,-0.47,-0.08
Baseline,LP,0.67,0.29,-1.21,1.79,-0.21,0.49,0.24,-1.02,-0.15,0.82,1.79,4.08,0.85,0.29,-0.24,-0.47
Baseline,LN,-0.29,0.42,0.77,0.48,-0.36,0.43,1.04,0.99,-1.25,1.73,1.4,0.63,0.71,0.26,-0.35,-0.68
Baseline,HN,-0.64,0.35,1.26,1.54,0.52,0.45,-1.51,2.37,1.88,1.47,-2.37,4.22,0.95,0.31,-0.26,-1.02
