"Grid vs Baseline","","","","","Flubber vs Baseline","","","","","Proprioceptive vs Baseline","","","",""
"Valence","t","SE","df","p.value","FDR.adjusted.p.value.2","t.1","SE.1","df.1","p.value.1","FDR.adjusted.p.value.1","t.2","SE.2","df.2","p.value.2","FDR.adjusted.p.value"
"t-test","-2.4","0.02","203","0.02","0.05","-0.05","0.02","203","0.96","0.96","-0.53","0.02","203","0.6","0.9"
"TOST Lower","3.29","0.02","203","0","","5.83","0.02","203","0","","5.11","0.02","203","0",""
"TOST Upper","-8.09","0.02","203","0","","-5.92","0.02","203","0","","-6.16","0.02","203","0",""
"Grid vs Baseline","","","","","Flubber vs Baseline","","","","","Proprioceptive vs Baseline","","","",""
"Arousal","t","SE","df","p.value","FDR.adjusted.p.value.2","t.1","SE.1","df.1","p.value.1","FDR.adjusted.p.value.1","t.2","SE.2","df.2","p.value.2","FDR.adjusted.p.value"
"t-test","1.55","0.03","203","0.12","0.37","-0.37","0.03","203","0.71","0.73","0.34","0.03","203","0.73","0.73"
"TOST Lower","5.62","0.03","203","0","","4.18","0.03","203","0","","4.57","0.03","203","0",""
"TOST Upper","-2.52","0.03","203","0.01","","-4.92","0.03","203","0","","-3.88","0.03","203","0",""
"Grid vs Baseline","","","","","Flubber vs Baseline","","","","","Proprioceptive vs Baseline","","","",""
"Distance","t","SE","df","p.value","FDR.adjusted.p.value.2","t.1","SE.1","df.1","p.value.1","FDR.adjusted.p.value.1","t.2","SE.2","df.2","p.value.2","FDR.adjusted.p.value"
"t-test","0.68","0.02","203","0.5","0.5","5.81","0.01","203","0","0","3.21","0.02","203","0","0"
"TOST Lower","0.68","0.02","203","0.25","","5.81","0.01","203","0","","3.21","0.02","203","0",""
"TOST Upper","-9.94","0.02","203","0","","-6.33","0.01","203","0","","-7.58","0.02","203","0",""
"Grid vs Baseline","","","","","Flubber vs Baseline","","","","","Proprioceptive vs Baseline","","","",""
"Angle","t","SE","df","p.value","FDR.adjusted.p.value.2","t.1","SE.1","df.1","p.value.1","FDR.adjusted.p.value.1","t.2","SE.2","df.2","p.value.2","FDR.adjusted.p.value"
"t-test","1.07","0.11","203","0.29","0.43","1.2","0.1","203","0.23","0.43","-0.33","0.1","203","0.74","0.74"
"TOST Lower","4.49","0.11","203","0","","5.12","0.1","203","0","","3.6","0.1","203","0",""
"TOST Upper","-2.36","0.11","203","0.01","","-2.73","0.1","203","0","","-4.27","0.1","203","0",""
