"","Valence","Arousal","Distance","Angle"
"cr_last",0.903,0.852,0.509,0.713
"cr_mean",0.926,0.873,0.534,0.769
"cr_median",0.918,0.865,0.519,0.743
"cr_mode",0.831,0.721,0.36,0.273
"cr_max",0.726,0.793,0.437,0.622
"cr_min",0.767,0.609,0.397,0.166
"cr_std",-0.089,0.227,-0.206,0.285
"cr_cv",-0.009,0.091,-0.416,0.019
"cr_range",-0.147,0.315,-0.164,0.34
"cr_iqr",-0.051,0.154,-0.202,0.117
"cr_skew",-0.539,-0.471,-0.091,-0.417
"cr_kurtosis",0.019,-0.138,0.062,0.025
"cr_auc",0.922,0.871,0.495,0.772
"cr_cp",-0.049,0.104,-0.123,0.222
