subject	test	num_groups	n_samples	n_permutations	F	p-value	significance
001	PERMANOVA	4	1390	1000	183.84969640212466	0.000999000999000999	True
002	PERMANOVA	4	1390	1000	51.34907931446258	0.000999000999000999	True
003	PERMANOVA	4	1390	1000	34.20589791639501	0.000999000999000999	True
004	PERMANOVA	4	1390	1000	18.88252212087934	0.000999000999000999	True
005	PERMANOVA	4	1390	1000	41.813527291831136	0.000999000999000999	True
006	PERMANOVA	4	1390	1000	14.837908670938175	0.000999000999000999	True
007	PERMANOVA	4	1390	1000	36.92619870657209	0.000999000999000999	True
009	PERMANOVA	4	1390	1000	17.184452888018726	0.000999000999000999	True
012	PERMANOVA	4	1390	1000	65.3826014731845	0.000999000999000999	True
014	PERMANOVA	4	1390	1000	52.91013357210348	0.000999000999000999	True
015	PERMANOVA	4	1390	1000	33.133343843473824	0.000999000999000999	True
016	PERMANOVA	4	1390	1000	29.805258532596767	0.000999000999000999	True
018	PERMANOVA	4	1390	1000	11.921756017141195	0.000999000999000999	True
019	PERMANOVA	4	1390	1000	28.439406568067835	0.000999000999000999	True
020	PERMANOVA	4	1390	1000	48.06897002675897	0.000999000999000999	True
021	PERMANOVA	4	1390	1000	15.729550455024896	0.000999000999000999	True
022	PERMANOVA	4	1390	1000	33.42483575494475	0.000999000999000999	True
024	PERMANOVA	4	1390	1000	63.30877783073475	0.000999000999000999	True
025	PERMANOVA	4	1390	1000	47.97672118852439	0.000999000999000999	True
026	PERMANOVA	4	1390	1000	39.88574115258831	0.000999000999000999	True
027	PERMANOVA	4	1390	1000	67.6731068144709	0.000999000999000999	True
028	PERMANOVA	4	1390	1000	26.638936022151274	0.000999000999000999	True
029	PERMANOVA	4	1390	1000	52.82050724824814	0.000999000999000999	True
030	PERMANOVA	4	1390	1000	40.81623679490357	0.000999000999000999	True
031	PERMANOVA	4	1390	1000	61.67655835316958	0.000999000999000999	True
032	PERMANOVA	4	1390	1000	29.471221243107845	0.000999000999000999	True
033	PERMANOVA	4	1390	1000	22.947571217303143	0.000999000999000999	True
034	PERMANOVA	4	1390	1000	42.1941060441154	0.000999000999000999	True
035	PERMANOVA	4	1390	1000	33.476140195157264	0.000999000999000999	True
036	PERMANOVA	4	1390	1000	55.47773875852977	0.000999000999000999	True
037	PERMANOVA	4	1390	1000	33.59646214555011	0.000999000999000999	True
038	PERMANOVA	4	1390	1000	47.90637609200805	0.000999000999000999	True
039	PERMANOVA	4	1390	1000	29.078996207619607	0.000999000999000999	True
040	PERMANOVA	4	1390	1000	66.14438290462348	0.000999000999000999	True
041	PERMANOVA	4	1390	1000	59.16585028680248	0.000999000999000999	True
042	PERMANOVA	4	1390	1000	44.04509827831634	0.000999000999000999	True
043	PERMANOVA	4	1390	1000	75.05557730216573	0.000999000999000999	True
045	PERMANOVA	4	1390	1000	36.29204157117356	0.000999000999000999	True
046	PERMANOVA	4	1390	1000	82.70916698567211	0.000999000999000999	True
