	Variable	Friedman	df	p-value	Significance
0	ibi	46.78461538461545	3	3.8622774227350507e-10	True
1	hrv	19.15384615384619	3	0.0002540860888782921	True
2	lf_hrv	2.846153846153925	3	0.4159584201815931	False
3	hf_hrv	32.81538461538469	3	3.52277689402414e-07	True
4	posterior_alpha	46.90769230769229	3	3.636346238712403e-10	True
5	frontal_alpha	32.53846153846155	3	4.0297809306955024e-07	True
6	frontal_theta	26.6615384615385	3	6.9320450694472865e-06	True
7	gamma	19.092307692307713	3	0.0002616427072076478	True
8	beta	5.676923076923117	3	0.12843138355055528	False
