		spaceship	invasion	asteroids	underwood	overall
ibi	mean_ibi	0.8475693954416814	0.8723843999090383	0.8529591441626917	0.8260949433649649	0.8478031847079415
ibi	std_ibi	0.1478092919274378	0.14609859694568744	0.15035866710578322	0.13992184433739852	0.14695772821934075
ibi	min_ibi	0.4502923483171445	0.441979550485911	0.4642835728490528	0.3644124037770556	0.3644124037770556
ibi	max_ibi	1.6706683311602168	1.483914620726644	1.6684795221053852	1.8533659593279324	1.8533659593279324
hrv	mean_hrv	0.003804594163196056	0.004194669900706179	0.003961375657546352	0.00361646861834779	0.0038701287263476747
hrv	std_hrv	0.002602187617315082	0.0025980152843525497	0.0026331299415068036	0.002551865424291668	0.002608080587605074
hrv	min_hrv	4.97410359990651e-05	0.0009027660499145	0.0006555484940545	0.0001327582048162	4.97410359990651e-05
hrv	max_hrv	0.0266173300057849	0.0164556179671815	0.0205561508955334	0.0293282922226457	0.0293282922226457
lf_hrv	mean_lf_hrv	0.00140680870432961	0.0013400190856457158	0.0014840104948910622	0.0014587499323145696	0.0014312653287561537
lf_hrv	std_lf_hrv	0.0007024559359782698	0.0006163050106048392	0.0006916575648253697	0.0007340668086127731	0.0006956803786094026
lf_hrv	min_lf_hrv	4.588528620409129e-05	0.0002715567588017	0.0002134337387824	0.0001290491071395	4.588528620409129e-05
lf_hrv	max_lf_hrv	0.0048132919600911	0.0044182258655897	0.0048783161648398	0.0046025639239711	0.0048783161648398
hf_hrv	mean_hf_hrv	0.0023294475122120073	0.0027819856773621974	0.0024025826412365607	0.002088612425647045	0.0023676778566893873
hf_hrv	std_hf_hrv	0.0020842898820377124	0.0021346576632627983	0.002082426790063946	0.0019710968309843554	0.002078811118032268
hf_hrv	min_hf_hrv	1.8666092184445689e-06	0.0002310667114231	0.0002182389079988	3.444215901306188e-06	1.8666092184445689e-06
hf_hrv	max_hf_hrv	0.0220404153692715	0.0148787371753169	0.0159966162711209	0.0247322436337528	0.0247322436337528
posterior_alpha	mean_posterior_alpha	2.06884351284075e-11	1.1250937591250691e-11	2.8638493964303997e-11	3.1990258652337416e-10	1.0321870461154048e-10
posterior_alpha	std_posterior_alpha	3.4276311794967375e-11	1.116056988554433e-11	1.401051737294566e-09	2.6760871406667386e-08	1.4030580471956968e-08
posterior_alpha	min_posterior_alpha	8.313492452588122e-13	8.510824728516275e-13	9.044141479387978e-13	7.815032205375107e-13	7.815032205375107e-13
posterior_alpha	max_posterior_alpha	6.064252655353194e-10	1.7810029493351518e-10	1.2852570157382797e-07	2.510487199917587e-06	2.510487199917587e-06
frontal_alpha	mean_frontal_alpha	1.2268574265699668e-11	8.346138828872144e-12	1.205192174715077e-11	7.393389707464e-11	2.8386987681759357e-11
frontal_alpha	std_frontal_alpha	1.681311943385329e-11	7.011248786967045e-12	2.9894413190801336e-10	5.700809841294455e-09	2.988925148392759e-09
frontal_alpha	min_frontal_alpha	9.272172985615945e-13	7.214836835637626e-13	7.402228612713296e-13	5.083860978262387e-13	5.083860978262387e-13
frontal_alpha	max_frontal_alpha	2.33534494717673e-10	1.1052164417484436e-10	2.74213023414795e-08	5.348045228005371e-07	5.348045228005371e-07
frontal_theta	mean_frontal_theta	5.423590300941778e-12	4.88269163138638e-12	1.0005545205637722e-11	9.834160378812093e-11	3.2076341030506106e-11
frontal_theta	std_frontal_theta	5.6476945581971256e-12	2.926702591850104e-12	4.0481564852985357e-10	7.740497510271542e-09	4.058308385657505e-09
frontal_theta	min_frontal_theta	7.097794250647298e-13	5.275037381108059e-13	5.756111215007028e-13	5.597850634601657e-13	5.275037381108059e-13
frontal_theta	max_frontal_theta	1.996254407979319e-10	4.0169627277428e-11	3.8027398503604704e-08	7.657652291327851e-07	7.657652291327851e-07
gamma	mean_gamma	3.204419922142801e-11	3.859038290789995e-11	5.501800544769314e-11	4.324168396522245e-10	1.494035307520808e-10
gamma	std_gamma	6.544258904737352e-11	5.3198952262272306e-11	1.7609713895121938e-09	3.51967405570789e-08	1.8451233361690942e-08
gamma	min_gamma	2.8562881185729717e-12	2.4060772618243617e-12	2.9097187908899832e-12	3.145470750989216e-12	2.4060772618243617e-12
gamma	max_gamma	3.171202949019487e-09	9.916478470022914e-10	1.611427930056645e-07	3.185719896722902e-06	3.185719896722902e-06
beta	mean_beta	3.101059847279939e-11	3.288020787021473e-11	7.45010437527776e-11	8.699771803339742e-10	2.735320310199516e-10
beta	std_beta	3.362958787292165e-11	3.14589880478263e-11	3.747752560043179e-09	7.529365846148632e-08	3.94706353081933e-08
beta	min_beta	3.318214268491794e-12	4.229573572171499e-12	4.234567367512754e-12	4.1074438223048706e-12	3.318214268491794e-12
beta	max_beta	1.1487451379759691e-09	5.98932481600571e-10	3.431384821204892e-07	6.838260571521249e-06	6.838260571521249e-06
